Impressions
3786
4344
5055
3480
6814
4628
3818
7281
2327
3988
5273
6666
4239
3606
4115
4343
13700
5058
3924
2826
3169
3884
4446
10933
1941
10386
2523
4002
3333
6108
6168
3541
3880
10206
2957
2766
2407
4082
6348
4082
3749
3216
4002
4528
3169
2191
2998
2621
10493
8001
4628
10667
2998
17713
3630
4681
6339
5731
5538
4139
4998
4467
7407
5323
3388
3623
4355
4842
3246
3454
3015
3990
3015
11068
5394
2941
3973
4021
3052
4609
5409
3630
17396
6559
2407
5055
36919
2064
5072
3525
7231
9453
3052
7018
4150
